"activity"	"source"	"subjectId"	"type"	"feature"	"average"
"1"	"LAYING"	"test"	2	"Mean"	"timeBodyAccelerationMeanX"	0.281373403958333
"2"	"LAYING"	"test"	2	"Mean"	"timeBodyGyroscopeMeanX"	-0.01847660675
"3"	"LAYING"	"test"	2	"Mean"	"timeBodyGyroscopeMeanY"	-0.111800824583333
"4"	"LAYING"	"test"	2	"Mean"	"timeBodyGyroscopeMeanZ"	0.144882846104167
"5"	"LAYING"	"test"	2	"Mean"	"timeBodyGyroscopeJerkMeanX"	-0.101974134208333
"6"	"LAYING"	"test"	2	"Mean"	"timeBodyGyroscopeJerkMeanY"	-0.0358590176083333
"7"	"LAYING"	"test"	2	"Mean"	"timeBodyGyroscopeJerkMeanZ"	-0.0701783020833333
"8"	"LAYING"	"test"	2	"Mean"	"timeBodyAccelerationMeanY"	-0.0181587397583333
"9"	"LAYING"	"test"	2	"Mean"	"timeBodyAccelerationMagnitudeMean"	-0.977435485208333
"10"	"LAYING"	"test"	2	"Mean"	"timeGravityAccelerationMagnitudeMean"	-0.977435485208333
"11"	"LAYING"	"test"	2	"Mean"	"timeBodyAccelerationJerkMagnitudeMean"	-0.987741696041667
"12"	"LAYING"	"test"	2	"Mean"	"timeBodyGyroscopeMagnitudeMean"	-0.950011569583333
"13"	"LAYING"	"test"	2	"Mean"	"timeBodyGyroscopeJerkMagnitudeMean"	-0.991767074166667
"14"	"LAYING"	"test"	2	"Mean"	"frequencyBodyAccelerationMeanX"	-0.976725059791667
"15"	"LAYING"	"test"	2	"Mean"	"frequencyBodyAccelerationMeanY"	-0.979800877916667
"16"	"LAYING"	"test"	2	"Mean"	"frequencyBodyAccelerationMeanZ"	-0.984380981875
"17"	"LAYING"	"test"	2	"Mean"	"frequencyBodyAccelerationMeanFrequencyX"	-0.146482792591667
"18"	"LAYING"	"test"	2	"Mean"	"frequencyBodyAccelerationMeanFrequencyY"	0.2572894655
"19"	"LAYING"	"test"	2	"Mean"	"frequencyBodyAccelerationMeanFrequencyZ"	0.402532553395833
"20"	"LAYING"	"test"	2	"Mean"	"timeBodyAccelerationMeanZ"	-0.107245610416667
"21"	"LAYING"	"test"	2	"Mean"	"frequencyBodyAccelerationJerkMeanX"	-0.985813630833333
"22"	"LAYING"	"test"	2	"Mean"	"frequencyBodyAccelerationJerkMeanY"	-0.982768250416667
"23"	"LAYING"	"test"	2	"Mean"	"frequencyBodyAccelerationJerkMeanZ"	-0.986197134583333
"24"	"LAYING"	"test"	2	"Mean"	"frequencyBodyAccelerationJerkMeanFrequencyX"	0.159808328563875
"25"	"LAYING"	"test"	2	"Mean"	"frequencyBodyAccelerationJerkMeanFrequencyY"	0.1212064240125
"26"	"LAYING"	"test"	2	"Mean"	"frequencyBodyAccelerationJerkMeanFrequencyZ"	0.190558218145833
"27"	"LAYING"	"test"	2	"Mean"	"timeGravityAccelerationMeanX"	-0.509754238125
"28"	"LAYING"	"test"	2	"Mean"	"timeGravityAccelerationMeanY"	0.752536639375
"29"	"LAYING"	"test"	2	"Mean"	"frequencyBodyGyroscopeMeanX"	-0.9864311425
"30"	"LAYING"	"test"	2	"Mean"	"frequencyBodyGyroscopeMeanY"	-0.983321635416667
"31"	"LAYING"	"test"	2	"Mean"	"frequencyBodyGyroscopeMeanZ"	-0.9626718875
"32"	"LAYING"	"test"	2	"Mean"	"timeGravityAccelerationMeanZ"	0.646834879583333
"33"	"LAYING"	"test"	2	"Mean"	"frequencyBodyGyroscopeMeanFrequencyX"	0.10261131938125
"34"	"LAYING"	"test"	2	"Mean"	"frequencyBodyGyroscopeMeanFrequencyY"	0.04228066839375
"35"	"LAYING"	"test"	2	"Mean"	"frequencyBodyGyroscopeMeanFrequencyZ"	0.0552985986479167
"36"	"LAYING"	"test"	2	"Mean"	"frequencyBodyAccelerationMagnitudeMean"	-0.975110196458333
"37"	"LAYING"	"test"	2	"Mean"	"frequencyBodyAccelerationMagnitudeMeanFrequency"	0.2662982125
"38"	"LAYING"	"test"	2	"Mean"	"frequencyBodyAccelerationJerkMagnitudeMean"	-0.985374114791667
"39"	"LAYING"	"test"	2	"Mean"	"frequencyBodyAccelerationJerkMagnitudeMeanFrequency"	0.3417585745
"40"	"LAYING"	"test"	2	"Mean"	"frequencyBodyGyroscopeMagnitudeMean"	-0.972112972708333
"41"	"LAYING"	"test"	2	"Mean"	"frequencyBodyGyroscopeMagnitudeMeanFrequency"	0.01856447223125
"42"	"LAYING"	"test"	2	"Mean"	"frequencyBodyGyroscopeJerkMagnitudeMean"	-0.990248702291667
"43"	"LAYING"	"test"	2	"Mean"	"frequencyBodyGyroscopeJerkMagnitudeMeanFrequency"	0.264801505395833
"44"	"LAYING"	"test"	2	"Mean"	"timeBodyAccelerationJerkMeanX"	0.0825972511666667
"45"	"LAYING"	"test"	2	"Mean"	"timeBodyAccelerationJerkMeanY"	0.012254788451875
"46"	"LAYING"	"test"	2	"Mean"	"timeBodyAccelerationJerkMeanZ"	-0.00180264895625
"47"	"LAYING"	"test"	2	"Std"	"timeBodyGyroscopeStandardDeviationX"	-0.988275232916667
"48"	"LAYING"	"test"	2	"Std"	"timeBodyGyroscopeStandardDeviationY"	-0.982291608958333
"49"	"LAYING"	"test"	2	"Std"	"timeBodyGyroscopeStandardDeviationZ"	-0.960306560416667
"50"	"LAYING"	"test"	2	"Std"	"timeBodyGyroscopeJerkStandardDeviationX"	-0.993235849166667
"51"	"LAYING"	"test"	2	"Std"	"timeBodyGyroscopeJerkStandardDeviationY"	-0.989567537916667
"52"	"LAYING"	"test"	2	"Std"	"timeBodyGyroscopeJerkStandardDeviationZ"	-0.98803582125
"53"	"LAYING"	"test"	2	"Std"	"timeBodyAccelerationMagnitudeStandardDeviation"	-0.972873912916667
"54"	"LAYING"	"test"	2	"Std"	"timeGravityAccelerationMagnitudeStandardDeviation"	-0.972873912916667
"55"	"LAYING"	"test"	2	"Std"	"timeBodyAccelerationJerkMagnitudeStandardDeviation"	-0.98551807625
"56"	"LAYING"	"test"	2	"Std"	"timeBodyGyroscopeMagnitudeStandardDeviation"	-0.961164053958333
"57"	"LAYING"	"test"	2	"Std"	"timeBodyGyroscopeJerkMagnitudeStandardDeviation"	-0.989718095208333
"58"	"LAYING"	"test"	2	"Std"	"frequencyBodyAccelerationStandardDeviationX"	-0.973246482083333
"59"	"LAYING"	"test"	2	"Std"	"frequencyBodyAccelerationStandardDeviationY"	-0.981025105625
"60"	"LAYING"	"test"	2	"Std"	"frequencyBodyAccelerationStandardDeviationZ"	-0.984792185
"61"	"LAYING"	"test"	2	"Std"	"frequencyBodyAccelerationJerkStandardDeviationX"	-0.987250255833333
